Date,Open,High,Low,Close,Adj Close,Volume
1/2/2014,25.84,26,25.290001,25.799999,25.799999,31700
1/3/2014,25.790001,26.02,25.51,25.93,25.93,29500
1/6/2014,26.09,26.379999,25.219999,25.379999,25.379999,46200
1/7/2014,25.530001,25.690001,24.950001,25.51,25.51,48500
1/8/2014,25.5,25.6,25.200001,25.360001,25.360001,16100
1/9/2014,25.440001,25.450001,25.030001,25.209999,25.209999,40800
1/10/2014,25.280001,26.040001,24.9,25.34,25.34,32200
1/13/2014,25.32,25.5,24.879999,25.09,25.09,61700
1/14/2014,25.09,25.09,24.73,24.780001,24.780001,20900
1/15/2014,24.76,25.200001,24.690001,25.02,25.02,95900
1/16/2014,25.02,25.58,24.16,25.299999,25.299999,85100
1/17/2014,25.34,25.9,24.780001,25.02,25.02,28400
1/21/2014,25.09,25.719999,25.09,25.57,25.57,16300
1/22/2014,25.860001,25.860001,25.370001,25.5,25.5,11000
1/23/2014,25.33,25.84,25.1,25.610001,25.610001,36200
1/24/2014,25.469999,25.73,25.360001,25.59,25.59,46500
1/27/2014,26.4,26.4,25.200001,25.450001,25.450001,33800
1/28/2014,25.16,25.389999,24.959999,25.389999,25.389999,37300
1/29/2014,25.110001,26.15,25.110001,25.459999,25.459999,46800
1/30/2014,25.610001,25.98,25.33,25.51,25.51,55900
1/31/2014,25.190001,25.4,24.82,25.26,25.26,45400
2/3/2014,25.09,25.299999,24.77,25.09,25.09,57800
2/4/2014,25.15,25.209999,24.74,25.120001,25.120001,23200
2/5/2014,25.309999,25.33,24.879999,25.299999,25.299999,26500
2/6/2014,25.42,25.5,24.879999,24.99,24.99,22300
2/7/2014,24.969999,25.25,24.48,24.84,24.84,26200
2/10/2014,24.719999,24.969999,23.92,24.549999,24.549999,49900
2/11/2014,23.91,24.969999,23.91,24.889999,24.889999,22700
2/12/2014,24.639999,25.190001,24.629999,24.75,24.75,40900
2/13/2014,24.610001,25.370001,23.59,25.35,25.35,19600
2/14/2014,25.42,25.66,24.98,25.48,25.48,22900
2/18/2014,25.4,26.33,25.4,26.25,26.25,15400
2/19/2014,26.25,26.690001,25.68,26.09,26.09,44000
2/20/2014,26.129999,27.209999,26.129999,27,27,46100
2/21/2014,27.18,27.73,26.950001,27.16,27.16,74500
2/24/2014,27.25,27.4,26.83,27.16,27.16,19900
2/25/2014,27.01,27.110001,26.559999,26.67,26.67,9700
2/26/2014,26.780001,26.91,26.35,26.52,26.52,46700
2/27/2014,26.51,26.780001,26.129999,26.65,26.65,39800
2/28/2014,26.719999,26.92,26.190001,26.25,26.25,30400
3/3/2014,26.200001,26.450001,25.59,26.440001,26.440001,126400
3/4/2014,26.629999,27.66,26.629999,27.48,27.48,106500
3/5/2014,27.299999,27.34,26.49,26.84,26.84,39300
3/6/2014,27.18,27.18,24.41,26.610001,26.610001,125100
3/7/2014,26.65,26.879999,25.73,26.84,26.84,28500
3/10/2014,26.809999,27.25,26.42,26.99,26.99,50400
3/11/2014,26.940001,27.030001,26.120001,26.190001,26.190001,23100
3/12/2014,25.99,26.290001,25.67,26.17,26.17,17700
3/13/2014,26.17,26.299999,25.620001,25.82,25.82,29400
3/14/2014,25.690001,26.360001,25.690001,25.870001,25.870001,25100
3/17/2014,26.799999,26.940001,25.93,26.860001,26.860001,84800
3/18/2014,26.83,27.610001,26.67,27.299999,27.299999,46800
3/19/2014,27.370001,27.620001,26.52,26.629999,26.629999,34400
3/20/2014,26.68,27.290001,26.25,26.540001,26.540001,98900
3/21/2014,26.65,27.1,26.610001,26.700001,26.700001,63800
3/24/2014,27.110001,27.110001,26.5,26.6,26.6,37200
