id,name,address,city,state,zipcode,lat,lon,,,,,,,,,,,,,,,,,,,,
20,Central Middle,1302 Queen Emma St,Honolulu,HI,96813,21.31166,-157.85664,,,,,,,,,,,,,,,,,,,,
21,Chiefess Kamakahelei Middle,"4431 Nuhou St, Lihue, HI 96766",Lihue,HI,96766,21.96699,-159.38714,,,,,,,,,,,,,,,,,,,,
22,Ewa Makai Middle,91-6291 Kapolei Parkway,Ewa Beach,HI,96706,21.31601,-158.02153,,,,,,,,,,,,,,,,,,,,
23,Governor Samuel Wilder King Intermediate,46-155 Kamehameha Hwy,Kaneohe,HI,96744,21.428209,-157.805603,,,,,,,,,,,,,,,,,,,,
24,Governor Sanford B. Dole Middle,1803 Kamehameha IV Road,Honolulu,HI,96819,21.3431,-157.871475,,,,,,,,,,,,,,,,,,,,
25,Hawaii Academy of Arts & Science Public Charter School,15-1397 Homestead Rd,Pahoa,HI,96778,19.50158,-154.94453,,,,,,,,,,,,,,,,,,,,
27,Hawaii Technology Academy Public Charter School,94-450 Mokuola St #200,Waipahu,HI,96797,21.38773,-158.00755,,,,,,,,,,,,,,,,,,,,
28,Hawaii School for the Deaf and Blind,3440 Leahi Ave,Honolulu,HI,96815,21.26946,-157.81512,,,,,,,,,,,,,,,,,,,,
31,Hilo Intermediate,587 Waianuenue Ave,Hilo,HI,96720,19.7202,-155.09606,,,,,,,,,,,,,,,,,,,,
32,Henry J. Kaiser High,511 Lunalilo Home Rd,Honolulu,HI,96825,21.28476,-157.69789,,,,,,,,,,,,,,,,,,,,
34,Henry Perrine Baldwin High,1650 W Kaahumanu Ave,Wailuku,HI,96793,20.88877,-156.49482,,,,,,,,,,,,,,,,,,,,
35,Hilo High,556 Waianuenue Ave,Hilo,HI,96720,19.72185,-155.09458,,,,,,,,,,,,,,,,,,,,
37,James B. Castle High,45-386 Kaneohe Bay Dr,Kaneohe,HI,96744,21.40438,-157.79503,,,,,,,,,,,,,,,,,,,,
38,James Campbell High,91-980 N Rd,Ewa Beach,HI,96706,21.31588,-158.0097,,,,,,,,,,,,,,,,,,,,
40,Kailua High,451 Ulumanu Dr,Kailua,HI,96734,21.38372,-157.74826,,,,,,,,,,,,,,,,,,,,
42,Kaimuki High,2705 Kaimuki Ave,Honolulu,HI,96816,21.28588,-157.81766,,,,,,,,,,,,,,,,,,,,
44,Kalaheo High,730 Iliaina St,Kailua,HI,96734,21.40838,-157.75793,,,,,,,,,,,,,,,,,,,,
47,Kalani High,4680 Kalanianaole Hwy,Honolulu,HI,96821,21.27919,-157.77406,,,,,,,,,,,,,,,,,,,,
61,Kapaa High,4695 Mailihuna Rd,Kapaa,HI,96746,22.09231,-159.31152,,,,,,,,,,,,,,,,,,,,
68,Kapolei High,91-5007 Kapolei Pkwy,Kapolei,HI,96707,21.32761,-158.0684,,,,,,,,,,,,,,,,,,,,
164,Kauai High,3577 Lala Rd,Lihue,HI,96766,21.32761,-158.068405,,,,,,,,,,,,,,,,,,,,
201,Kawaikini New Century Public Charter School,3-1821 Kaumualii Hwy,Lihue,HI,96766,21.9694,-159.37981,,,,,,,,,,,,,,,,,,,,
211,Ke Ana Laahana Public Charter School,160 Baker Ave,Hilo,HI,96720,19.7271,-155.04447,,,,,,,,,,,,,,,,,,,,
251,Keaau High,16-725 Keaau-Pahoa Rd,Keaau,HI,96749,19.60951,-155.03026,,,,,,,,,,,,,,,,,,,,
271,Kealakehe High,74-5000 Puohulihuli St,Kailua,HI,96740,19.67104,-155.99673,,,,,,,,,,,,,,,,,,,,
421,Kihei Public Charter High School,650 Lipoa Pkwy,Kihei,HI,96753,20.74958,-156.44037,,,,,,,,,,,,,,,,,,,,
472,King Kekaulike High,121 Kula Hwy,Makawao,HI,96768,20.82711,-156.32776,,,,,,,,,,,,,,,,,,,,
681,Kohala High,54-3611 Akoni Pule Hwy,Kapaau,HI,96755,20.23294,-155.80978,,,,,,,,,,,,,,,,,,,,
684,Konawaena High,81-1043 Konawaena School Rd,Kealakekua,HI,96750,19.50926,-155.9158,,,,,,,,,,,,,,,,,,,,
999,Lahainaluna High,980 Lahainaluna Rd,Lahaina,HI,96761,20.88888,-156.65955,,,,,,,,,,,,,,,,,,,,
