NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
344321,2017,27,,12,42958,43241,260,,,
359624,2017,68,,12,42956,43012,260,,,
368276,2017,23,,12,42956,43236,260,I,,
302117,2018,23,,12,43320,43543,260,,,
302438,2018,28,,12,43320,43455,260,,,
310124,2018,28,,12,43320,43524,260,,,
310210,2018,68,,12,43320,43518,260,,,
310359,2018,68,,12,43320,43553,260,,,
311272,2018,22,,12,43320,43434,260,,,
313258,2018,23,,12,43320,43430,260,I,,
315297,2018,211,I,12,43320,43608,260,,,
315777,2018,68,S,12,43320,43333,260,,,
316806,2018,22,,12,43320,43573,260,I,,
317530,2018,20,,12,43320,43452,260,I,,3.07E+13
318299,2018,23,,12,43320,43341,260,,,
320386,2018,201,I,12,43320,43420,260,,,
321246,2018,211,I,12,43320,43608,260,,,
325472,2018,251,I,12,43320,43605,260,,,
327090,2018,28,,12,43320,43481,260,,,
327113,2018,211,I,12,43320,43608,260,I,,
327310,2018,28,,12,43571,43600,260,6,,3.07E+13
327761,2018,201,I,12,43374,43455,260,,,
330509,2018,20,,12,43341,43558,260,,,
333686,2018,68,,12,43320,43500,260,,,
335411,2018,24,S,12,43320,43586,260,,,
335697,2018,20,,12,43320,43489,260,,,
336247,2018,20,,11,43320,43571,260,,,
336293,2018,23,,12,43328,43496,260,,,
336690,2018,20,,10,43320,43542,260,,,
337978,2018,21,,12,43320,43347,260,,,
338294,2018,68,,12,43320,43542,260,I,,
338627,2018,21,,12,43320,43572,260,,,
349528,2018,68,,12,43320,43556,260,,,
350763,2018,28,,12,43320,43566,260,,,
351394,2018,20,,12,43320,43348,260,,,
351394,2018,251,I,12,43349,43369,260,,,
353709,2018,24,,12,43320,43340,260,,,
353802,2018,68,,12,43320,43455,260,,,
355987,2018,201,I,12,43320,43455,260,1,,3.07E+13
356049,2018,28,S,12,43320,43586,260,,,
357460,2018,28,S,12,43320,43417,260,,,
361141,2017,201,I,11,43080,43189,260,,,
364678,2018,20,,12,43320,43342,260,,,
365495,2017,271,I,11,43160,43178,260,,,
365993,2018,68,,12,43320,43384,260,,,
370508,2018,21,,12,43320,43608,260,,,
371948,2018,68,,12,43320,43558,260,I,,3.07E+13
373167,2018,68,,12,43320,43530,260,,,
374633,2018,201,I,12,43320,43528,260,,,
374781,2018,20,,12,43320,43430,260,,,
375206,2018,201,I,12,43320,43490,260,,,
375381,2018,27,,12,43320,43511,260,,,
375997,2018,251,I,12,43320,43336,260,,,
376746,2018,201,I,12,43542,43553,260,,,
378529,2017,24,,11,42956,43027,260,,,
379707,2018,22,,12,43320,43431,260,I,,3.07E+13
380968,2018,21,,12,43320,43608,260,,,
381819,2018,211,I,12,43320,43518,260,,,
382933,2017,20,,10,42956,43200,260,,,
383051,2018,24,S,12,43320,43420,260,,,
383284,2018,22,,12,43320,43504,260,,,
384737,2018,28,,12,43320,43389,260,,,
384828,2018,201,I,12,43500,43553,260,I,,
386124,2018,35,,7,43334,43446,260,,,
388401,2018,24,,12,43320,43455,260,,,
389668,2018,24,S,12,43320,43587,260,,,
392806,2018,68,,12,43320,43587,260,I,,3.07E+13
394829,2018,251,I,12,43483,43489,260,,,
394886,2018,22,,12,43320,43334,260,,,
395268,2018,22,,12,43320,43500,260,I,,
395498,2018,24,,12,43320,43531,260,,,
395780,2018,23,,12,43320,43509,260,,,
402450,2017,24,,11,42956,43200,260,I,,3.07E+13
406178,2018,28,,12,43320,43571,260,,,
409226,2017,21,,11,42956,43048,260,,,
409506,2018,681,S,12,43320,43581,260,,,
415142,2017,25,,11,42956,43123,260,,,
418260,2018,68,,12,43320,43578,260,,,
431998,2017,271,I,11,43133,43244,260,,,
432440,2018,24,S,12,43320,43501,260,,,
434477,2018,68,,12,43320,43531,260,,,
435198,2018,68,,12,43320,43455,260,,,
444398,2018,28,,12,43320,43571,260,,,
444539,2017,68,,11,43137,43168,260,,,
445682,2018,28,,12,43320,43595,260,I,,
447838,2018,23,,12,43320,43347,260,,,
448710,2018,68,,12,43320,43455,260,,,
463828,2018,681,S,12,43320,43328,260,,,
