NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
300001,2017,22,,10,42956,NULL,,,,
300001,2018,22,,11,43320,NULL,,,,
300002,2017,21,,11,42956,NULL,,I,,
300004,2017,28,,11,43073,NULL,,,,
300012,2017,24,,9,42956,NULL,,,,
300012,2017,421,C,9,43108,NULL,,,,
300012,2018,24,,10,43320,NULL,,,,
300019,2017,22,,10,42956,NULL,,,,
300020,2017,21,,11,42956,NULL,,I,,
300022,2018,20,,9,43320,NULL,,,,
300023,2018,20,,9,43320,NULL,,,,
300027,2017,28,,11,42956,NULL,,,,
300036,2018,28,,9,43320,NULL,,,,
300044,2017,44,,7,42956,NULL,,O,,3.07E+13
300045,2018,271,I,9,43496,NULL,,,,
300056,2017,35,,7,42956,NULL,,,,
300058,2017,32,,7,42956,NULL,,,,
300059,2017,28,,11,42956,NULL,,,,
300062,2017,20,,11,42956,NULL,,,,
300064,2018,20,S,9,43320,NULL,,,,
300067,2017,44,,7,42956,NULL,,O,,3.07E+13
300071,2017,68,,11,42956,NULL,,I,,
300075,2017,20,,9,42956,NULL,,,,
300075,2018,20,,10,43320,NULL,,,,
300078,2017,24,S,11,42956,NULL,,,,
300082,2018,24,S,9,43320,NULL,,,,
300083,2017,38,,7,42956,NULL,,O,,3.07E+13
300089,2018,27,,9,43320,NULL,,,,
300095,2018,40,,7,43320,NULL,,,,
300099,2017,25,,11,42956,NULL,,,,
300100,2017,44,,7,42956,NULL,,,,
300101,2017,25,,11,42956,NULL,,,,
300103,2017,28,,11,42956,NULL,,,,
300111,2017,20,,10,42956,NULL,,,,
300111,2018,20,,11,43320,NULL,,,,
300115,2017,23,,9,42956,NULL,,,,
300115,2018,23,,10,43320,NULL,,,,
300117,2018,25,,9,43320,NULL,,,,
300123,2018,35,,7,43320,NULL,,,,
300124,2017,28,S,11,42956,NULL,,,,
300126,2017,44,,7,42956,NULL,,O,,3.07E+13
300128,2017,28,,11,42956,NULL,,,,
300129,2017,28,,9,42956,NULL,,,,
300130,2017,20,,10,42956,NULL,,,,
300130,2018,20,,11,43320,NULL,,,,
300138,2018,24,S,9,43320,NULL,,,,
